"";"openalex_id";"journal_name";"publication_year";"osf_links";"git_links";"has_osf";"has_git";"has_any_link";"all_osf_links_clean";"all_git_links_clean";"country";"author";"title";"keywords";"method_quali";"open_answers";"interview";"observation";"documents";"method_quanti";"one_m";"multiple_m";"quasiexperiment";"experiment";"intervention";"primary_data";"secondary_data";"review";"method_other";"open_data";"open_code";"open_material";"open_analysis";"prerig";"notes2"
"11";"W4210578668";"Cogent Education";2022;"osf.io/vnb4m/? view_only=8d86e2ff35174370ac83645d89355d62";NA;TRUE;FALSE;TRUE;"osf.io/vnb4m/? view_only=8d86e2ff35174370ac83645d89355d62";NA;"South Africa";"Slabbert, C.; de Lange, R. W.; Mason, H.";"Anthropomorphisms in multimedia learning: Do they facilitate learning in primary school learners?";"emotional design; multimedia learning; anthropomorphisms; learning facilitation";"0";"0";"0";0;"0";"1";"0";"1";1;0;1;1;"0";0;"";"0";"0";"1";"0";"";"fragebogen"
"12";"W7154132050";"Cogent Education";2026;"OSF.IO/PGE6F";NA;TRUE;FALSE;TRUE;"osf.io/pge6f";NA;"Iran";"Sajadi, S. A.; Maroufi, Y.; Abdulrahman, B. S.";"Exploring social distance of Iranian students from international students: a preliminary survey study";"Social interaction; Bogardus Social Distance Scale (BSDS); academic major; higher education; international students; social closeness";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"0";0;"";"1";"0";"1";"0";"";"fragebogen"
"13";"W4406041816";"Frontiers in Education";2025;"OSF.IO/W2ZDS";NA;TRUE;FALSE;TRUE;"osf.io/w2zds";NA;"Germany";"Gutowski, R.; Novotný, P.; Janštová, V.; Großschedl, J.";"Do future biology teachers bug out with higher insect-related knowledge and more positive attitudes? A comparison of different education levels";"biology education; knowledge about insects; attitudes toward insects; secondary school students; pre-service biology teachers; gender";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"0";0;"";"1";"0";"1";"0";"";"fragebogen"
"14";"W4404537873";"Frontiers in Education";2024;"osf.io/3tupf";NA;TRUE;FALSE;TRUE;"osf.io/3tupf";NA;"Germany";"Kreutzmann, M.; Frühauf, M.; Hannover, B.; Koeppen, K.";"Communal and agentic teacher behavior in teacher-child dyads. A new self-report scale based on a circumplex approach";"agency; communion; interpersonal teacher behavior; dyads; adaptive teaching";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"0";0;"";"1";"0";"1";"0";"";"fragebogen"
"15";"W4311865240";"Frontiers in Education";2022;"osf.io/jm4tx";NA;TRUE;FALSE;TRUE;"osf.io/jm4tx";NA;"Germany";"Schmidt, K.; Rosman, T.; Cramer, C.; Besa, K.-S.; Merk, S.";"Teachers trust educational science - Especially if it confirms their beliefs";"evidence-informed education; anecdotal evidence; confirmation bias; second-hand evaluation; scientific evidence; trust in science; teacher education";"0";"0";"0";0;"0";"1";"0";"1";0;1;1;1;"0";0;"";"1";"1";"1";"0";"";"fragebogen"
"16";"W4286433114";"Frontiers in Education";2022;"osf.io/pa852";NA;TRUE;FALSE;TRUE;"osf.io/pa852";NA;"Germany";"Meuleners, J. S.; Neuhaus, B. J.; Eberle, J.";"Basic needs support and achievement emotions in daily research of life scientists considering academic positions";"academic staff; daily research; post-docs; professors; achievement emotions; basic needs support; tertiary education";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"0";0;"";"0";"0";"1";"0";"";"fragebogen"
"17";"W4391844952";"Education Sciences";2024;"osf.io/qe4xy";NA;TRUE;FALSE;TRUE;"osf.io/qe4xy";NA;"Germany";"Déchène, M.; Lesperance, K.; Ziernwald, L.; Holzberger, D.";"From Research to Retweets—Exploring the Role of Educational Twitter (X) Communities in Promoting Science Communication and Evidence-Based Teaching";"social media; twitter (X); teacher professional development; science communication; researcher–practitioner gap; evidence-based teaching; teacher survey; analytical hierarchy process; natural language processing; sentiment analysis";"0";"0";"0";0;"0";"1";"0";"0";0;0;0;1;"1";0;"";"1";"0";"1";"0";"";"fragebogen"
"18";"W4401455762";"Education Sciences";2024;"OSF.IO/3VMU4";NA;TRUE;FALSE;TRUE;"osf.io/3vmu4";NA;"Ecuador";"Bedoya-Guerrero, A.; Basantes-Andrade, A.; Rosales, F. O.; Naranjo-Toro, M.; León-Carlosama, R.";"Soft Skills and Employability of Online Graduate Students";"soft skills; employability; online graduate students; online education; skills development; student development; innovative training; social development";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"0";0;"";"0";"1";"1";"0";"";"fragebogen"
"19";"W4408412646";"Cogent Education";2025;"osf.io/384jb/? view_only=aef2e6b2bdc54ed684e89ff6636200c4||osf.io/384jb/? view_only=aef2e6b2bdc54ed684e89ff6636200c4";NA;TRUE;FALSE;TRUE;"";"";"United States";"Young; M. E.; Petrescu; C.";"Graduate student perceptions of their graduate experience: an informational tool for academic programs and graduate schools";"graduate students; graduate experience; survey; academic programs; graduate schools; mentoring";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"0";0;NA;"0";"1";"1";"0";"";"fragebogen"
"20";"W3190900033";"AERA Open";2021;"osf.io/bqnw9||osf.io/bqnw9";NA;TRUE;FALSE;TRUE;"";"";"Germany";"Merk; S.; Drahmann; M.; Cramer; C.";"Development and Validation of the Tuebingen Inventory to Measure Teachers' Profession-Specific Value Orientations (TIVO)";"values; teachers; profession-specific value orientations; TIVO; validation; factor analysis; construct validity";"0";"0";"0";0;"0";"1";"1";"0";0;1;0;1;"0";0;"psychometric";"1";"0";"1";"1";"";"fragebogen"
