;openalex_id;journal_id;journal_name;publication_year;has_osf;has_git;doi;country;author;title;keywords;method_quali;open_answers;interview;observation;documents;method_quanti;one_m;multiple_m;quasiexperiment;experiment;intervention;primary_data;secondary_data;review;method_other;open_data;open_code;open_material;open_analysis;prerig;notes2;study_type;
17;W4415649328;S2596526815;Frontiers in Education;2025;FALSE;TRUE;https://doi.org/10.3389/feduc.2025.1632132;USA;"Liu, C.; Xie, R.; Chen, Z.";Towards actionable recommendations for exam preparation using isomorphic problem banks and Explainable Machine Learning;"Explainable Machine Learning; SHAP value; predictive analysis; assessment outcome; actionable recommendation";0;0;0;0;0;1;0;1;0;0;1;1;0;0;NA;1;1;0;0;NA;NA;quantitative;
18;W4413180406;S2596526815;Frontiers in Education;2025;TRUE;FALSE;https://doi.org/10.3389/feduc.2025.1597898;USA;"Roberts, R. A.; Gravelle, C. D.; Che, E. S.; Zapparrata, N.; Lodhi, A. K.; Brooks, P. J.";The limited role of expectancy-value beliefs, self-efficacy, and perceived attentional control in predicting online learning outcomes in a general education course;"academic motivation; self-efficacy; expectancy-value; higher education; introductory psychology; online courses";0;0;0;0;0;1;1;0;0;0;0;1;0;0;NA;1;1;1;0;NA;NA;quantitative;
19;W4409998149;S2596526815;Frontiers in Education;2025;TRUE;FALSE;https://doi.org/10.3389/feduc.2025.1582737;USA;"Rocha, K.; Lussier, C. M.; Atit, K.";Bolstering spatial learning in the primary classroom: identifying the factors underlying primary teachers spatial pedagogical practices;"teacher cognition; spatial skills; spatial anxiety; spatial habits of mind; primary education";0;0;0;0;0;1;1;0;0;0;0;1;0;0;NA;1;1;0;0;NA;NA;quantitative;
20;W4405365491;S2596526815;Frontiers in Education;2024;FALSE;TRUE;https://doi.org/10.3389/feduc.2024.1494431;USA;"Yeatman, J. D.; Tran, J. E.; Burkhardt, A. K.; Ma, W. A.; Mitchell, J. L.; Yablonski, M.; Gijbels, L.; Townley-Flores, C.; Richie-Halford, A.";Development and validation of a rapid and precise online sentence reading efficiency assessment;"dyslexia; reading fluency assessment; screening tools; reading fluency and comprehension; progress monitoring; psychometrics";0;0;0;0;0;1;0;1;0;0;0;1;0;0;NA;0;1;0;0;NA;NA;quantitative;
21;W4400962596;S2596526815;Frontiers in Education;2024;TRUE;FALSE;https://doi.org/10.3389/feduc.2024.1392022;USA;"Vonessen, J.; Zellou, G.";Perception of Mandarin tones across different phonological contexts by native and tone-naive listeners;"tonal coarticulation; perceptual compensation; Mandarin; lexical tones; L2 speech perception";0;0;0;0;0;1;1;0;0;1;1;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
23;W4386727353;S2596526815;Frontiers in Education;2023;TRUE;FALSE;https://doi.org/10.3389/feduc.2023.1225169;USA;"Hout, M. C.; Montelongo, J.; White, B. L.; Hernandez, A.; Serrano-Wall, F.";Orthographic similarity ratings for English-Spanish cognates from the academic word list;"cognates; academic word list; orthographic similarity; reading; education; bilingualism";0;0;0;0;0;1;1;0;0;1;0;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
24;W4353082122;S2596526815;Frontiers in Education;2023;FALSE;TRUE;https://doi.org/10.3389/feduc.2023.1059071;USA;"LeBoeuf, L.; Goldstein-Greenwood, J.; Lillard, A. S.";Rates of chronic absenteeism in Montessori and non-Montessori Title 1 schools;"racial disparities; chronic absenteeism; Montessori education; multilevel modeling; Title 1 schools";0;0;0;0;0;1;1;0;1;0;0;0;1;0;NA;1;1;0;0;NA;NA;quantitative;
25;W4319320567;S2596526815;Frontiers in Education;2023;FALSE;TRUE;https://doi.org/10.3389/feduc.2022.868052;USA;"Berliner, A. J.; Hecla, J.";Nuclear history, politics, and futures from (A)toms-to(Z)oom: Design and deployment of a remote-learning special-topics course for nuclear engineering education;"nuclear physics and engineering history; remote education; STEM pedagogy; nontechnical engineering education; history of science";0;0;0;0;0;1;1;0;0;0;1;1;0;0;NA;0;0;1;0;NA;course_material;quantitative;
26;W4315488232;S2596526815;Frontiers in Education;2023;TRUE;FALSE;https://doi.org/10.3389/feduc.2022.1033100;USA;"Edwards, O. V.; Dai, T.";Differential relations among expectancy, task value, engagement, and academic performance: The role of generation status;"first-generation college students; continuing-generation college students; situated expectancy-value theory; school motivation; school engagement";0;0;0;0;0;1;1;0;0;0;0;1;1;0;NA;1;0;0;0;NA;NA;quantitative;
27;W4283010488;S2596526815;Frontiers in Education;2022;FALSE;TRUE;https://doi.org/10.3389/feduc.2022.851625;USA;"Durant, J.; Wright, D. B.";Exploring the Associations Between MAP Growth and SBA by Demographics;"formative assessment; summative assessment; measures of academic progress; smarter balanced assessment consortium; growth";0;0;0;0;0;1;0;1;0;0;0;0;1;0;psychometric;0;1;0;0;NA;NA;quantitative;
